,name,department,rating,total_ratings,would take again,difficulty
62,Klaus Kalthoff,Biology,2.8,11 ratings,N/A,4.6
63,Brian Leiter,Law,3.2,14 ratings,N/A,2.6
64,Neal Burns,Journalism,2.9,6 ratings,N/A,2.5
65,Harry Cleaver,Economics,3.7,6 ratings,N/A,3.5
66,Isabella Cunningham,Marketing,3.0,5 ratings,100%,3.8
67,. Kimball,English,4.2,3 ratings,N/A,2.3
68,. Whigham,English,3.4,22 ratings,100%,3.8
69,Wayne Rebhorn,English,3.1,20 ratings,63%,3.2
70,Perry Connolly,Languages,2.6,4 ratings,N/A,3.5
71,Karl Miller,History,4.6,14 ratings,N/A,2.9
72,Sarah Buel,Law,1.9,6 ratings,N/A,3
73,John Swinnea,Engineering,4.1,20 ratings,80%,2.1
74,Donna Lyon,Chemistry,3.3,34 ratings,N/A,2.9
75,Carl Blyth,Languages,4.2,5 ratings,100%,2.8
76,Eric Mallin,English,4.0,23 ratings,80%,3.4
77,Leslie Vaaler,Mathematics,2.1,7 ratings,N/A,4.1
78,Robin Doughty,Geography,2.8,15 ratings,34%,3.5
79,Kenneth Liechti,Engineering,3.5,5 ratings,100%,4.6
80,Klaus Bichteler,Mathematics,1.5,32 ratings,N/A,4.4
81,Rosanne Loop,Nutrition,2.2,11 ratings,N/A,4.3
82,Ekwere Peters,Engineering,2.1,7 ratings,N/A,3.3
83,Joshua Klein,Physics,5.0,3 ratings,N/A,3.3
84,Paul Oakes,Physics,0.0,0 ratings,N/A,0
85,Mary Baker,Languages,3.7,5 ratings,N/A,4.4
86,Harry Swinney,Physics,3.5,28 ratings,64%,4
87,Hao Ling,Engineering,5.0,4 ratings,N/A,2.5
88,Francis Bostick,Engineering,5.0,3 ratings,N/A,2.3
89,Derek Wills,Science,2.9,27 ratings,N/A,4
90,Matthew Russell,English,2.7,3 ratings,100%,1
91,. Rhodes,Mathematics,2.3,5 ratings,N/A,2
92,Arthur Markman,Psychology,4.4,13 ratings,91%,2
93,Steven Biegalski,Engineering,4.7,24 ratings,100%,2.9
94,Elizabeth Bishop,Literature,0.0,0 ratings,N/A,0
95,Stephen Phillips,Philosophy,3.1,22 ratings,25%,3
96,Erika Bsumek,History,4.2,17 ratings,97%,3.2
97,Evelyn Schultz,Mathematics,1.8,120 ratings,27%,4.4
98,Mark Lawrence,History,4.2,24 ratings,89%,3.4
99,Megan Seaholm,History,3.4,98 ratings,56%,2.9
100,Brian Bocknack,Chemistry,3.5,32 ratings,36%,3.6
101,Jim Spivey,Psychology,4.4,15 ratings,N/A,3.2
102,John Rickard,Engineering,0.0,0 ratings,N/A,0
103,T.K. Seung,Philosophy,3.9,8 ratings,N/A,4.1
104,Eric Warr,Sociology,4.8,21 ratings,100%,2.7
105,Andrew Karch,Political Science,4.7,9 ratings,N/A,2.4
106,Inderjit Dhillon,Computer Science,4.5,2 ratings,N/A,3.5
107,James Ayres,English,1.8,12 ratings,N/A,4.6
108,Kathryn Metz,Music,0.0,0 ratings,N/A,0
109,Jennifer Proft,Mathematics,4.3,2 ratings,N/A,3
110,Chris Bell,Geology,3.4,20 ratings,50%,4
111,James Henderson,Music,0.0,0 ratings,N/A,0
112,. McDaniel,History,3.3,16 ratings,50%,2.7
113,Keith Livers,Literature,4.0,8 ratings,100%,1.9
114,Helena Woodard,English,4.3,15 ratings,100%,2.9
115,Anita Vangelisti,Communication,3.5,4 ratings,34%,3.8
116,Patrick Hughes,Music,5.0,1 ratings,100%,4
117,Lisa Carroll-Lee,Literature,5.0,2 ratings,N/A,3
118,Diane Radin,Mathematics,3.2,48 ratings,30%,3.9
119,Tiffany Gill,History,4.1,6 ratings,N/A,2.7
120,William Carner,Marketing,3.3,2 ratings,N/A,2
121,Diane Kneeland,Chemistry,3.0,2 ratings,N/A,3
122,Allen Cowley,Chemistry,2.7,6 ratings,N/A,3.8
123,Benjamin Hicks,Classics,0.0,0 ratings,N/A,0
124,Alan Kessler,Political Science,4.3,4 ratings,67%,3.3
125,Elizabeth Scala,English,4.1,13 ratings,100%,3.8
126,Ann Keller-Lally,Languages,5.0,3 ratings,N/A,2.7
127,Steve Ross,Architecture,3.4,7 ratings,N/A,2.4
128,Amarante Lucero,Theater,2.7,17 ratings,N/A,4.3
129,Lee Abraham,Theater,4.5,2 ratings,N/A,4
130,Pam Christian,Theater,4.3,3 ratings,N/A,2.3
131,Christopher Adejumo,Fine Arts,4.0,3 ratings,100%,1.7
132,Michael White,Religion,4.3,18 ratings,82%,2.3
133,Fran Dorn,Theater,4.7,7 ratings,75%,2.1
134,Craig Chase,Engineering,3.7,11 ratings,N/A,3.6
135,Jayadev Misra,Computer Science,4.3,3 ratings,N/A,4
136,Elaine Rich,Computer Science,3.9,12 ratings,100%,3.5
137,Marvin Olasky,Journalism,4.8,2 ratings,N/A,3.5
138,Andrew Dell'Antonio,Music,4.2,6 ratings,0%,1.5
139,Roderick Hart,Communication,5.0,2 ratings,100%,2.5
140,Craig Wheeler,Astronomy,4.3,14 ratings,75%,2.6
141,Sankaran Radhakrishnan,Languages,4.8,2 ratings,N/A,2.5
142,Leon Long,Geology,4.0,17 ratings,100%,3.2
143,G. Howard Miller,History,2.8,2 ratings,N/A,4
144,Ted Aanstoos,Engineering,4.8,4 ratings,N/A,1.5
145,Robert Anderson,Fine Arts,2.5,1 ratings,N/A,3
146,Suzanne Barth,Biology,4.2,8 ratings,80%,2.7
147,Daniel Alexander Jones,Theater,0.0,0 ratings,N/A,0
148,Joni Jones,Theater,3.7,8 ratings,67%,2.9
149,Bill Wiman,Fine Arts,0.0,0 ratings,N/A,0
150,Bill Lundberg,Fine Arts,3.5,1 ratings,N/A,3
151,Loril Gossett,Communication,0.0,0 ratings,N/A,0
152,Sunshine Webster,Communication,5.0,2 ratings,N/A,2.5
153,Catherine Echols,Psychology,0.0,0 ratings,100%,0
154,Gwyn Morgan,Classics,4.0,4 ratings,N/A,3.8
155,Johanna Hartelius,Communication,4.4,5 ratings,100%,2.4
156,Clariza Ruiz De Castilla,Communication,3.1,30 ratings,N/A,3.6
157,Bob Mann,Journalism,3.3,3 ratings,N/A,3.7
158,Donald Newman,Accounting,4.3,2 ratings,N/A,4
159,Joyce Harris,Communication,2.0,2 ratings,N/A,4
160,Bart Goddard,Mathematics,3.7,47 ratings,84%,3.3
161,James Holcombe,Chemistry,3.0,11 ratings,N/A,3.5
162,Nell Dale,Computer Science,0.0,0 ratings,N/A,0
163,Jenny Cooke,Geology,4.7,3 ratings,N/A,1.7
164,Hunter March,Music,5.0,1 ratings,N/A,3
165,Luis Caffarelli,Mathematics,2.5,4 ratings,0%,4
166,Glen Peers,Art History,3.7,6 ratings,100%,3
167,T Lin,Political Science,0.0,0 ratings,N/A,0
168,M Hilley,Music,3.1,11 ratings,50%,4.3
169,Tim High,Fine Arts,2.0,8 ratings,0%,3.3
170,Michael Ray Charles,Fine Arts,2.2,6 ratings,N/A,3.8
171,Lisa Moore,Women's Studies,4.3,5 ratings,100%,1.4
172,John Farrell,English,0.0,0 ratings,N/A,0
173,Raymond Hawkins,Psychology,3.1,7 ratings,N/A,2.1
174,Devendra Singh,Psychology,3.9,10 ratings,100%,3
175,George Sylvie,Journalism,2.4,6 ratings,0%,4
176,Lea Cline,Art History,5.0,3 ratings,100%,2
177,Alicia Carter,Languages,5.0,3 ratings,N/A,1.7
178,Jerry Schirmer,Physics,3.0,2 ratings,N/A,3
179,Paula J. Perlman,Classics,3.4,18 ratings,100%,3.9
180,Alex Wettlaufer,Languages,3.4,5 ratings,100%,4
181,Solange Munoz,Languages,2.6,4 ratings,N/A,2.8
182,Dina Sherzer,Film,4.0,2 ratings,N/A,2.5
183,Henry Dietz,Political Science,4.0,9 ratings,100%,3.1
184,Abe Wicklegren,Economics,0.0,0 ratings,N/A,0
185,David Siller,Languages,3.4,5 ratings,N/A,2.8
186,Timothy Loving,Women's Studies,4.4,16 ratings,0%,2.6
187,Sanford Marble,Economics,1.8,7 ratings,N/A,3.4
188,Alba Ortiz,Education,0.0,0 ratings,N/A,0
189,Ellen Kester,Communication,0.0,0 ratings,N/A,0
190,Beatrix Paal,Economics,1.4,13 ratings,N/A,4.2
191,AJ Boydston,Chemistry,5.0,2 ratings,100%,3.5
192,Eiichiro Komatsu,Astronomy,3.0,3 ratings,N/A,3.3
193,. Barbanson,Mathematics,2.2,6 ratings,N/A,3.5
194,Maggie Myers,Computer Science,3.3,21 ratings,72%,3.5
195,Dan Knopf,Mathematics,4.5,9 ratings,100%,2.7
196,Anton Nel,Music,5.0,2 ratings,N/A,3.5
197,Mark Bernstein,Communication,4.3,20 ratings,78%,2.8
198,John Clarke,Art History,3.9,14 ratings,67%,3.5
199,Sanjay Banerjee,Engineering,4.2,3 ratings,67%,4
200,Veronica House,Writing,0.0,0 ratings,N/A,0
201,Eric Pianka,Biology,1.4,27 ratings,14%,4.3
202,. Neubauer,Biology,3.9,7 ratings,N/A,3.6
203,Frenkel Hofstede,Marketing,4.8,3 ratings,N/A,1.7
204,Jessie Wandelt,Biology,3.8,60 ratings,100%,3.5
205,J. Limon,English,0.0,0 ratings,N/A,0
206,Catherine Stacy,Mathematics,3.8,14 ratings,100%,3.4
207,Cherise Smith,Art History,4.3,5 ratings,N/A,3.6
208,Allan MacDonald,Physics,2.5,3 ratings,50%,2.7
209,Leanne Field,Biology,4.5,2 ratings,N/A,4.5
210,Lawrence McFarland,Fine Arts,5.0,2 ratings,N/A,3.5
211,Dan Leary,Architecture,0.0,0 ratings,N/A,0
212,David Stuart,Art History,4.3,18 ratings,75%,2.9
213,Bella Jordan,Geography,3.8,8 ratings,75%,2.9
214,Allen,Biology,0.0,0 ratings,N/A,0
215,Smilja Milovanovic-Bertram,Architecture,0.0,0 ratings,N/A,0
216,Andrew Lotto,Psychology,0.0,0 ratings,N/A,0
217,Sharmila Rudrappa,Sociology,4.0,4 ratings,100%,3
218,Stanislav Zimic,Languages,3.2,3 ratings,N/A,2.3
219,Lynn Cates,Philosophy,0.0,0 ratings,N/A,0
220,Wayne Lesser,English,3.3,16 ratings,75%,3.8
221,Brian Bremen,English,4.3,7 ratings,0%,2.7
222,Ben Carrington,Sociology,4.4,4 ratings,100%,2.5
223,Ellen Spiro,Film,5.0,15 ratings,100%,2.7
224,John Pierson,Film,0.0,0 ratings,N/A,0
225,Michael Gagarin,Classics,2.8,3 ratings,N/A,4.3
226,Martin Schlaepfer,Biology,0.0,0 ratings,N/A,0
227,Deborah Weiss,Law,0.0,0 ratings,N/A,0
228,Carlos Amador,Languages,4.4,9 ratings,N/A,1.6
229,Jerry Junkin,Music,4.5,3 ratings,N/A,3.3
230,Michael Singer,Biology,4.3,10 ratings,N/A,2.8
231,Phyllis Young,Music,0.0,0 ratings,N/A,0
232,Cassandra Delgado-Reyes,Science,5.0,6 ratings,100%,2
233,Matthew Scholl,Mathematics,2.2,3 ratings,N/A,2.3
234,H Yilmaz,Economics,3.8,4 ratings,N/A,4
235,Jafari Allen,Anthropology,2.8,4 ratings,0%,2.8
236,Williams Glade,Economics,0.0,0 ratings,N/A,0
237,Michelle Monk,Humanities,0.0,0 ratings,N/A,0
238,Mitch Berman,Law,3.2,3 ratings,N/A,4.3
239,Zhanmin Zhang,Engineering,1.0,1 ratings,N/A,4
240,Wanda Cash,Journalism,4.0,5 ratings,100%,4
241,Greg Michener,Languages,3.5,3 ratings,N/A,2.3
242,Sayre,Writing,0.0,0 ratings,N/A,0
243,Cinzia Russi,Languages,2.0,4 ratings,N/A,2.5
244,Anish Ghosh,Mathematics,0.0,0 ratings,N/A,0
245,Phyllis Robertson,Education,4.7,3 ratings,N/A,3
246,Ruth Franks,Biology,4.0,1 ratings,N/A,1
247,Christine Hawkes,Biology,3.5,1 ratings,N/A,4
248,Kristen Grauman,Computer Science,4.9,8 ratings,100%,2.7
249,Alison Preston,Psychology,4.5,2 ratings,100%,4
250,Namkee Choi,Social Work,0.0,0 ratings,N/A,0
251,Chris McCarthy,Education,5.0,2 ratings,100%,2
252,Steven Isenberg,English,4.5,2 ratings,N/A,3.5
253,Hallberg Amy,Anthropology,0.0,0 ratings,N/A,0
254,Byron McClenney,Education,5.0,1 ratings,N/A,5
255,Umar Alam,Biology,5.0,1 ratings,N/A,1
256,Michael Luchs,Marketing,0.0,0 ratings,N/A,0
257,Brian King,Geography,0.0,0 ratings,N/A,0
258,Mounira Charrad,Sociology,4.3,3 ratings,100%,2.7
259,Shirley Lukenbill,Library Science,3.3,7 ratings,N/A,3
260,Barbara Moore,Biology,2.7,14 ratings,N/A,4.2
261,Corinne Grimes,Nursing,3.5,3 ratings,N/A,1.3
262,Sarah Blankenship,Nursing,5.0,2 ratings,N/A,2
263,Sherry Hendrickson,Nursing,3.0,2 ratings,N/A,3
264,Harvey Pittel,Music,4.8,2 ratings,N/A,5
265,Norman Li,Psychology,4.6,5 ratings,N/A,2.8
266,Aaron Shield,Languages,0.0,0 ratings,N/A,0
267,Thomas Whitbread,English,4.7,3 ratings,N/A,2.7
268,Jonathan Lamb,English,4.5,3 ratings,N/A,3.3
269,Farkhondeh Shayesteh,Library Science,4.8,3 ratings,N/A,2.7
270,Gustavo Deveciana,Engineering,3.7,3 ratings,100%,3
271,Arban Uka,Physics,4.5,3 ratings,100%,3
272,Anthony Petrosino,Education,2.0,2 ratings,N/A,3
273,Karen Mann,Mathematics,4.5,2 ratings,N/A,1.5
274,Peter Trubowitz,Political Science,4.2,3 ratings,N/A,3.7
275,Kent Butler,Architecture,0.0,0 ratings,N/A,0
276,Susan Todd,Writing,4.5,1 ratings,N/A,2
277,George Georgiou,Engineering,0.0,0 ratings,N/A,0
278,P Rossky,Chemistry,4.0,1 ratings,N/A,3
279,Peter Fazziola,Languages,4.3,2 ratings,N/A,2.5
280,Jennifer Gates-Foster,Classics,4.2,5 ratings,N/A,3.8
281,David Vandenbout,Chemistry,3.6,40 ratings,100%,3.5
282,Keri Thompson,Communication,4.3,2 ratings,N/A,3.5
283,Lauren Mitchell,Writing,0.0,0 ratings,N/A,0
284,Sheilah Murphey,Languages,3.0,2 ratings,N/A,3.5
285,Duane Dicus,Physics,0.0,0 ratings,N/A,0
286,Benuto Zheng,Mathematics,1.5,2 ratings,N/A,3
287,Bryan Russell,English,4.8,3 ratings,N/A,3
288,Tom Bushart,Biology,3.3,8 ratings,N/A,3.9
289,Dale Smith,English,4.5,2 ratings,N/A,2
290,Keith Robinson,Sociology,3.9,6 ratings,N/A,2.8
291,Douglas De Vidal,Accounting,2.5,2 ratings,N/A,5
292,Matt Clements,Economics,3.0,2 ratings,N/A,5
293,Mercedes De Uriarte,Journalism,5.0,1 ratings,N/A,4
294,Theodore Dix,Nursing,4.7,3 ratings,100%,3.7
295,Philipp Broadbent,Languages,3.1,5 ratings,N/A,3.8
296,Jenn Garrison,Film,5.0,2 ratings,N/A,4
297,Robert Bishop,Engineering,0.0,0 ratings,N/A,0
298,Lili Qiu,Computer Science,2.5,11 ratings,50%,3.7
299,Arlo Schurle,Mathematics,4.1,19 ratings,N/A,2.4
300,Lizabeth Doherty,Education,0.0,0 ratings,N/A,0
301,James Bryant,Biology,2.7,6 ratings,N/A,4.8
302,Rebecca Bigler,Psychology,4.5,7 ratings,100%,2.9
303,Carlos Capra,Languages,3.8,4 ratings,N/A,3.3
304,Florence Atiase,Accounting,3.2,6 ratings,N/A,3.3
305,Jessica Goudeau,English,5.0,2 ratings,N/A,2.5
306,Charles Earhart,Biology,2.5,1 ratings,N/A,5
307,Lorraine Branham,Journalism,0.0,0 ratings,N/A,0
308,Jennifer Fuller,Communication,3.3,6 ratings,N/A,4.5
309,Seth Garfield,History,2.6,6 ratings,40%,3.8
310,Lorenzo Alvisi,Computer Science,4.3,7 ratings,100%,4.3
311,Sarah Simmons,Science,4.6,4 ratings,N/A,1.5
312,Ben Henry,Classics,0.0,0 ratings,N/A,0
313,Pamela Friedman,Finance,0.0,0 ratings,N/A,0
314,Jennifer Whitson,Management,0.0,0 ratings,N/A,0
315,Rowena Fong,Social Work,4.0,7 ratings,50%,2
316,Amanda Jones,Psychology,0.0,0 ratings,N/A,0
317,Rupert Snell,Asian Studies,5.0,3 ratings,100%,2
318,Sean Buckley,Engineering,0.0,0 ratings,N/A,0
319,John Colapret,Chemistry,3.3,80 ratings,71%,3.5
320,Enrique Fierro,Literature,4.0,1 ratings,N/A,1
321,Arlen Johnson,Biology,2.0,5 ratings,0%,3.6
322,Gregory Foran,English,0.0,0 ratings,N/A,0
323,Vadim Kaplunovsky,Physics,2.2,4 ratings,0%,2.3
324,Eva Thomsen,Counseling,0.0,0 ratings,N/A,0
325,Brent Hasty,Education,0.0,0 ratings,N/A,0
326,Anne Martinez,History,1.5,10 ratings,N/A,4.5
327,Kelley Crews,Geography,3.4,14 ratings,50%,2
328,Alan Cline,Computer Science,2.8,14 ratings,50%,3.8
329,Sarah Davies,Classics,4.6,6 ratings,100%,3
330,John Lacy,Astronomy,3.7,8 ratings,N/A,2.5
331,Francisco Perez,Geography,3.9,11 ratings,N/A,2.5
332,William Nethercut,Classics,3.4,36 ratings,58%,2.8
333,Joseph Abraham,English,0.0,0 ratings,N/A,0
334,David Fithian,Mathematics,2.8,2 ratings,N/A,2
335,Emilie Destruel,French & Italian,5.0,2 ratings,N/A,3.5
336,Thomas Chen,Mathematics,4.3,16 ratings,86%,2.7
337,Jade Walker,Fine Arts,3.5,1 ratings,N/A,2
338,Jan Todd,Health Science,2.3,4 ratings,0%,2.8
339,Paul Findell,Biology,2.4,5 ratings,N/A,5
340,Elizabeth Engelhardt,History,3.5,9 ratings,N/A,3.4
341,Ethan Burris,Management,0.0,0 ratings,N/A,0
342,Jeb Mueller,Music,0.0,0 ratings,N/A,0
343,Don Graham,English,4.5,9 ratings,100%,2.1
344,John Burrows,Management,3.8,3 ratings,N/A,2.7
345,William Epps,History,0.0,0 ratings,N/A,0
346,Yingda Cheng,Mathematics,3.0,3 ratings,N/A,3.3
347,Jean-Pierre Montreuil,French & Italian,3.3,4 ratings,N/A,3.8
348,Simone Sessolo,French & Italian,4.0,2 ratings,N/A,2.5
349,Brenda Chinnery-Allgeier,Biology,3.7,36 ratings,64%,3
350,Zaiming Zhao,Biology,3.3,44 ratings,0%,2.8
351,Marion Bodian,History,2.8,18 ratings,50%,3.3
352,Robert King,Linguistics,4.2,5 ratings,N/A,2.2
353,Michael Becker,Engineering,3.3,2 ratings,N/A,4
354,Ian Osteen,Culinary Arts,0.0,0 ratings,N/A,0
355,Paul Martorana,Management,2.0,1 ratings,N/A,1
356,Shardha Jogee,Astronomy,3.9,6 ratings,50%,3
357,Kevin Thomas,Advertising,4.1,9 ratings,100%,2.3
358,Danielle Dirks,Sociology,4.5,2 ratings,N/A,2
359,J Turner,Physics,2.1,10 ratings,N/A,4.3
360,Peter MacNeilage,Psychology,1.8,4 ratings,N/A,3.5
361,Martin Kevorkian,English,4.9,5 ratings,100%,2.8
362,Robert Gompf,Mathematics,4.0,3 ratings,67%,4.3
363,Qinian Jin,Mathematics,0.0,0 ratings,N/A,0
364,Christopher Ellison,Sociology,4.0,1 ratings,N/A,4
365,Sanford Levinson,Law,3.5,2 ratings,N/A,2
366,Alessandra Lippucci,Government,5.0,1 ratings,N/A,1
367,Sheldon Ekland-Olson,Sociology,4.4,32 ratings,83%,2.3
368,Jerome Bump,English,3.8,7 ratings,25%,3.1
369,Steven Hoelscher,American Studies,3.6,12 ratings,50%,2.8
370,John Barnes,Engineering,3.8,3 ratings,N/A,2.3
371,Mrinal Sen,Geology,0.0,0 ratings,N/A,0
372,Annie Petersen,Film,4.8,2 ratings,N/A,3.5
373,Xiao-Yang Zhu,Chemistry,3.8,2 ratings,N/A,3.5
374,Don Fussell,Computer Science,3.5,2 ratings,N/A,4
375,Mary Dunn,Management,4.0,2 ratings,N/A,2.5
376,Adi Raz,Languages,4.0,11 ratings,N/A,3.2
377,Monica Yaniv,Languages,3.5,2 ratings,100%,3
378,J Aggarwal,Engineering,0.0,0 ratings,N/A,0
379,Jennifer Marsh,Architecture,0.0,0 ratings,N/A,0
380,John Higley,Sociology,4.0,2 ratings,N/A,3.5
381,Benjamin Narvaez,History,3.5,1 ratings,N/A,2
382,Richard Cherwitz,Business,2.0,2 ratings,N/A,4.5
383,Douglas Foley,Education,5.0,1 ratings,N/A,3
384,Clayton Bjorland,Mathematics,3.4,5 ratings,N/A,2.4
385,Eduardo Gildin,Engineering,0.0,0 ratings,N/A,0
386,John Fremgen,Music,3.5,1 ratings,N/A,3
387,Whitney Yin,Chemistry,3.5,1 ratings,N/A,2
388,Charles Krecz,Philosophy,3.3,44 ratings,75%,2.2
389,Nancy Kwallek,Design,0.0,0 ratings,N/A,0
390,Adriana Sofer,Mathematics,0.0,0 ratings,N/A,0
391,Michael Sullivan,Classics,3.3,2 ratings,N/A,4
392,Andreas Gerstlauer,Engineering,4.0,3 ratings,N/A,3.3
393,William Neal,Engineering,0.0,0 ratings,N/A,0
394,Robert McCann,Engineering,4.3,3 ratings,100%,1
395,George Cardwell,Engineering,2.8,2 ratings,N/A,2
396,James Chelikowsky,Physics,3.3,7 ratings,100%,4
397,Julia Reed,Humanities,3.9,5 ratings,50%,1
398,Marjorie Woods,English,5.0,6 ratings,100%,1.8
399,Maki Shimotani,Asian Studies,3.0,2 ratings,N/A,2.5
400,Gregory Shields,Astronomy,4.0,2 ratings,N/A,3.5
401,Karen Rascati,Pharmacy,4.0,2 ratings,N/A,1.5
402,Emily Bloom,Writing,1.5,1 ratings,N/A,3
403,Jason Craft,Writing,0.0,0 ratings,N/A,0
404,Mohamed Gouda,Computer Science,2.8,29 ratings,25%,3
405,Serap Sengul,Anthropology,0.0,0 ratings,N/A,0
406,Herb Krasner,Engineering,3.7,5 ratings,N/A,2.8
407,Peter Dana,Geography,3.0,1 ratings,N/A,2
408,John Donnellan,Business,0.0,0 ratings,N/A,0
409,Andre Gogolev,Mathematics,3.0,2 ratings,N/A,3
410,Myklebust Nicholas,Mathematics,0.0,0 ratings,N/A,0
411,Gerald Shank,Not Specified,4.7,3 ratings,N/A,3.7
412,Eric Dodson-Robinson,Classics,5.0,1 ratings,N/A,3
413,Jerry Manheimer,Human Dev & Family Sciences,3.3,8 ratings,25%,3.5
414,Rory Rother,Mathematics,4.5,2 ratings,N/A,3.5
415,Ronald Anderson,Communication,4.2,115 ratings,85%,2.4
416,Matthew Hill,Spanish & Portuguese,0.0,0 ratings,N/A,0
417,Samantha Croft,Biology,4.0,1 ratings,N/A,1
418,John Kormendy,Astronomy,3.2,12 ratings,75%,3.9
419,Chris Pieper,Sociology,5.0,3 ratings,N/A,3.3
420,Minjung Park,Languages,4.5,3 ratings,100%,2.7
421,Cheryl Kaplan,Dramatic Arts,2.5,1 ratings,N/A,2
422,Ahn Hongmin,Advertising,0.0,0 ratings,N/A,0
423,Luke Leonard,Theater,0.0,0 ratings,N/A,0
424,Laura Simmons,Film,0.0,0 ratings,N/A,0
425,Herim Lee,Film,0.0,0 ratings,N/A,0
426,Nour Touba,Engineering,0.0,0 ratings,N/A,0
427,Sri Satyan,Engineering,1.8,2 ratings,N/A,3.5
428,Catherine Blouke,Not Specified,4.5,1 ratings,N/A,2
429,Shirley Thompson,History,4.6,5 ratings,100%,2
430,Jeff Williams,Fine Arts,5.0,3 ratings,100%,1.7
431,Amy Ware,American Studies,5.0,2 ratings,100%,2.5
432,Nick Mantegani,Philosophy,4.5,8 ratings,N/A,3.5
433,Anthony Vigorito,Sociology,4.7,9 ratings,N/A,1.6
434,Guerra Lita,Music,3.0,1 ratings,0%,3
435,Lita Guerra,Music,0.0,0 ratings,N/A,0
436,Michael Mahometa,Mathematics,3.5,6 ratings,100%,3.2
437,Mohan Ambikaiparker,Anthropology,4.0,1 ratings,N/A,3
438,Werner Lang,Architecture,0.0,0 ratings,N/A,0
